Comment,Designator,Footprint,LCSC,Quantity
100nF,"C11,C7,C9",C_0402,C307331,3
100pF,C12,C_0402,C1546,1
10kΩ,R1,R_0603,C25804,1
"10uH,3mA",L2,L_0603,C1035,1
10Ω,"R2,R3",R_0603,C22859,2
12pF,"C1,C2,C5,C6",C_0402,C1547,4
"15nH,300mA",L1,L_0402,C27143,1
1pF,C3,C_0402,C1550,1
1uF,C10,C_0603,C15849,1
2.7uH,L5,L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,C91239,1
3.9uH,L4,L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,C98062,1
33Ω,R4,R_0603,C23140,1
4.7uF,C8,C_0603,C19666,1
ABM8-32.000MHZ-B2-T3,Y3,Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm,C1986513,1
Battery_CR2032,J4,BatteryHolder_MYOUNG_BS-07-A1BJ001_CR2032,C2979167,1
Green,D2,D_0805,C2297,1
Q13FC1350000400,Y1,FC-135R_L3.2-W1.5,C32346,1
Red,D3,D_0805,C84256,1
SW_Push,"SW1,SW2,SW3",SW_SPST_PTS810,C2888429,3
White,D1,D_0805,C34499,1
nrf52832,U1,QFN-48-1EP_6x6mm_P0.4mm_EP4.4x4.4mm_ThermalVias,C77540,1
2450AT18A100E,AE1,ANTC3216X140N,,1
